amenity,building,name,geometry,latitude,longitude
,yes,Gokul Das Images,POINT (77.5375757 13.0321382),13.0321382,77.5375757
,yes,Ranganatha Industries,POINT (77.5299258 13.0334394),13.0334394,77.5299258
,yes,Hitachi koki India,POINT (77.5234348 13.0388485),13.0388485,77.5234348
,yes,BSNL Office,POINT (77.5189073 13.0392248),13.0392248,77.5189073
,yes,16 Squares Luxury Suites,POINT (77.6290234 12.938253),12.938253,77.6290234
,yes,Sri Krishna Kalyana mantap,POINT (77.5599558 12.9270266),12.9270266,77.5599558
community_centre,yes,Prince Party Hall,POINT (77.5619192 12.9279572),12.9279572,77.5619192
,yes,SBN Hall,POINT (77.5675782 12.9451761),12.9451761,77.5675782
,yes,NTT Data,POINT (77.5680824 12.9493298),12.9493298,77.5680824
,yes,Railway Reservation Counter,POINT (77.6227913 12.9310403),12.9310403,77.6227913
,yes,Pearl Optics,POINT (77.5807642 12.9275446),12.9275446,77.5807642
bank,public,State Bank of India,POINT (77.5857558 12.9218725),12.9218725,77.5857558
,yes,Akshaya Patra Foundation,POINT (77.549363 13.0007386),13.0007386,77.549363
,yes,Kabadi Kalyana Mantapa,POINT (77.548447 12.9847793),12.9847793,77.548447
,yes,Nagadevaki Palace,POINT (77.5485145 12.9800466),12.9800466,77.5485145
,yes,Parvati Convention Hall,POINT (77.548241 12.9807261),12.9807261,77.548241
,yes,Shubaram Kalyana Mantap,POINT (77.5483383 12.9765457),12.9765457,77.5483383
,yes,Vijaynagar Telephone Exchange,POINT (77.5452366 12.9748452),12.9748452,77.5452366
,yes,Bunts Sangha,POINT (77.5330658 12.9616067),12.9616067,77.5330658
,yes,Saipoorna heights,POINT (77.6517922 12.9001956),12.9001956,77.6517922
,office,Bionivid Technology Private Limited,POINT (77.6558154 13.0048359),13.0048359,77.6558154
,house,"11/1 , ""Chitrakoota""",POINT (77.5400767 12.9262057),12.9262057,77.5400767
,yes,KSRTC Bangalore Rural Divisional Offices,POINT (77.5367088 12.9501789),12.9501789,77.5367088
,apartments,Elita Promenade,POINT (77.5801634 12.89267),12.89267,77.5801634
school,school,JSS Composite PU College,POINT (77.5755122 12.9220691),12.9220691,77.5755122
,commercial,All India Institute of Local Self Government,POINT (77.5797264 12.9784495),12.9784495,77.5797264
,house,Gurukarunya,POINT (77.5349139 13.000026),13.000026,77.5349139
,yes,CGN Building #2,POINT (77.674326 12.9759879),12.9759879,77.674326
,office,ISPG Technologies,POINT (77.5854351 12.9411165),12.9411165,77.5854351
,residential,Surya Nest Apartments,POINT (77.5630558 13.0055544),13.0055544,77.5630558
,church,Bethel Methodist Church,POINT (77.7173334 13.0065498),13.0065498,77.7173334
,apartments,Fortuna Megha,POINT (77.6677593 13.0143345),13.0143345,77.6677593
,apartments,Oceanus Lily,POINT (77.6639754 13.0202019),13.0202019,77.6639754
,apartments,Oceanus Red Rock,POINT (77.6649744 13.0204951),13.0204951,77.6649744
,yes,"BESCOM Office, S6 Sub-Division",POINT (77.5777041 12.907279),12.907279,77.5777041
,apartments,Sri Sai Palace Apartment,POINT (77.6641565 13.0175393),13.0175393,77.6641565
,yes,Anantheya Counselling Center,POINT (77.5910489 12.9161233),12.9161233,77.5910489
,yes,Sharekhan,POINT (77.6214713 12.9417576),12.9417576,77.6214713
,public,Maradi Subbaiah Yoga Center,POINT (77.5620794 12.9450916),12.9450916,77.5620794
,yes,Satya Pramoda Kalyana Mantapa,POINT (77.57211 12.949552),12.949552,77.57211
,yes,BSNL,POINT (77.5248988 12.9714899),12.9714899,77.5248988
,office,Guru Tour And Travel,POINT (77.601745 12.959713),12.959713,77.601745
,yes,Ariba Networks,POINT (77.5994149 13.0020713),13.0020713,77.5994149
,yes,Airtel Relationship Centre,POINT (77.5993076 13.0020346),13.0020346,77.5993076
,apartments,KT-26 Sriranga Apartments,POINT (77.5669734 12.9993734),12.9993734,77.5669734
,yes,Shukhashaya Apartments,POINT (77.5720816 12.9503274),12.9503274,77.5720816
,yes,Deccan Shelters,POINT (77.5854586 13.0877823),13.0877823,77.5854586
,house,Ashirwad,POINT (77.680533 12.9750684),12.9750684,77.680533
,apartments,Block J,POINT (77.6203217 12.8997257),12.8997257,77.6203217
,apartments,Block H,POINT (77.6202867 12.8993989),12.8993989,77.6202867
,apartments,Block E,POINT (77.620858 12.8990015),12.8990015,77.620858
,apartments,Block A,POINT (77.6213408 12.8999008),12.8999008,77.6213408
,apartments,Block G,POINT (77.6202438 12.8990196),12.8990196,77.6202438
,apartments,Block C,POINT (77.6212684 12.8993229),12.8993229,77.6212684
,apartments,Block D,POINT (77.6211264 12.8989988),12.8989988,77.6211264
,apartments,Block B,POINT (77.621306 12.8996079),12.8996079,77.621306
,apartments,Block K,POINT (77.6206166 12.8997806),12.8997806,77.6206166
,apartments,Block L,POINT (77.6208904 12.8998381),12.8998381,77.6208904
,apartments,Block F,POINT (77.6205201 12.8990041),12.8990041,77.6205201
,yes,Pai Vinod Deluxe Hall,POINT (77.572675 12.9445758),12.9445758,77.572675
,office,Nucleon Technologies,POINT (77.5060068 12.9761014),12.9761014,77.5060068
,temple,Sree Jaya Maruti Devalaya,POINT (77.5717284 12.9457759),12.9457759,77.5717284
,residential,Marutham Green View Apartments,POINT (77.6025627 13.0406643),13.0406643,77.6025627
,yes,Vijayanagar Sub registrar office,POINT (77.5416538 12.9734094),12.9734094,77.5416538
,yes,Pradhan Pelican Apartments,POINT (77.6111737 12.8797446),12.8797446,77.6111737
,yes,Mortuary,POINT (77.5681208 13.030931),13.030931,77.5681208
,office,State Trading Corporatio Ltd.,POINT (77.5371775 13.0123142),13.0123142,77.5371775
,house,Vijnanapura Campus,POINT (77.57104 13.0341188),13.0341188,77.57104
,school,Indian Institute of Business Studies,POINT (77.6092368 13.034755),13.034755,77.6092368
,office,BBMP Kavalbyrasandra,POINT (77.6131942 13.0313749),13.0313749,77.6131942
,public,Bangalore One Kavalbyrasandra,POINT (77.6131137 13.0314536),13.0314536,77.6131137
,hut,Inder,POINT (77.6075373 12.9311256),12.9311256,77.6075373
,office,United India Insurance,POINT (77.6414747 12.9787461),12.9787461,77.6414747
,public,Koundinya Convention Hall,POINT (77.5483625 12.9397862),12.9397862,77.5483625
,apartments,Purva Skywood,POINT (77.6609987 12.8944434),12.8944434,77.6609987
,public,Banaswadi Telephone Exchange,POINT (77.6526468 13.0115545),13.0115545,77.6526468
,yes,LT Research,POINT (77.6036267 12.9639636),12.9639636,77.6036267
,apartments,Taxila Mansions,POINT (77.6301293 12.9372585),12.9372585,77.6301293
,yes,Sahana Nilaya,POINT (77.6304788 12.9373346),12.9373346,77.6304788
,school,Christ University Block I,POINT (77.6069283 12.9339929),12.9339929,77.6069283
,school,Christ Junior College,POINT (77.6058881 12.935551),12.935551,77.6058881
,apartments,Vesta Summit Apartments,POINT (77.6193465 12.8714422),12.8714422,77.6193465
fuel,yes,Essay Petroleum,POINT (77.5624389 13.06942),13.06942,77.5624389
,office,OPAL Solutions,POINT (77.5560764 13.0695997),13.0695997,77.5560764
,office,Karthavya Technologies Pvt Ltd,POINT (77.6416454 13.0313009),13.0313009,77.6416454
,office,Passport Seva Kendra,POINT (77.684323 12.9300956),12.9300956,77.684323
,apartments,Hemavathi Homes Apartment,POINT (77.553198 12.910373),12.910373,77.553198
,office,July Systems,POINT (77.6234849 12.9143397),12.9143397,77.6234849
fuel,yes,Total Gas,POINT (77.5470005 12.9669405),12.9669405,77.5470005
fuel,yes,Indian Oil,POINT (77.5461504 12.9673086),12.9673086,77.5461504
fuel,yes,Omkar Refill Station,POINT (77.5246208 12.9702784),12.9702784,77.5246208
,yes,Sai Vidya Kendra,POINT (77.5889361 12.9218064),12.9218064,77.5889361
,public,Bangalore One,POINT (77.5849043 12.9214451),12.9214451,77.5849043
,house,Sree Chakra,POINT (77.6613338 12.9581442),12.9581442,77.6613338
,apartments,Srinivasa Shelter,POINT (77.6146127 12.913749),12.913749,77.6146127
,house,Vipinjith,POINT (77.6776538 12.97454),12.97454,77.6776538
,yes,Kammavari Sangha Kalyana Mantapa,POINT (77.5633287 12.9412104),12.9412104,77.5633287
,residential,Sai Sadan,POINT (77.7508601 12.9705947),12.9705947,77.7508601
,retail,Poonam Mahal,POINT (77.4827859 12.9268392),12.9268392,77.4827859
,school,Sankalpa Montessori,POINT (77.5381624 12.9684322),12.9684322,77.5381624
,school,Mother Mary School,POINT (77.5687268 12.9091739),12.9091739,77.5687268
,school,Dew Drops Montessori School,POINT (77.5200179 12.9112575),12.9112575,77.5200179
,public,Bangalore One,POINT (77.5894718 12.9282496),12.9282496,77.5894718
,public,BESCOM Office,POINT (77.58844 12.9296699),12.9296699,77.58844
,garage,Tyre King,POINT (77.561157 12.9264033),12.9264033,77.561157
,school,Bethany Special School,POINT (77.6337015 12.9321815),12.9321815,77.6337015
,yes,Abax Academy,POINT (77.7100226 12.9547184),12.9547184,77.7100226
,yes,Kailasgiri Apartments,POINT (77.6644885 12.992024),12.992024,77.6644885
,office,"Red Hat India Pvt. Ltd, IBC Knowledge Park",POINT (77.602333 12.9327941),12.9327941,77.602333
,apartments,Sadhguru Fortuna,POINT (77.7024959 12.961507),12.961507,77.7024959
,commercial,Adecco India,POINT (77.6542608 12.9584678),12.9584678,77.6542608
,apartments,Fountain Life,POINT (77.6671112 12.9815153),12.9815153,77.6671112
,commercial,Cerebhyas,POINT (77.5860139 13.0276155),13.0276155,77.5860139
,yes,Golden Jubilee Building,POINT (77.6393668 12.9793141),12.9793141,77.6393668
,apartments,Reach for the Sky,POINT (77.6393645 12.979128),12.979128,77.6393645
,temple,Lakshmi Venkateshwara Temple,POINT (77.5949139 12.9460609),12.9460609,77.5949139
,hospital,Sanjeevani Hospital,POINT (77.5439166 13.0117814),13.0117814,77.5439166
,company,Brainwave Edutainment,POINT (77.5997592 12.9099865),12.9099865,77.5997592
,temple,Maramma Temple,POINT (77.6005127 12.9078405),12.9078405,77.6005127
,bank,Deepak Sahakari Bank Ltd,POINT (77.5526703 12.9950212),12.9950212,77.5526703
,hospital,Shathayu Ayurveda,POINT (77.5824245 12.9106932),12.9106932,77.5824245
,college,Noble Evening College,POINT (77.5793932 12.9107379),12.9107379,77.5793932
,college,Nobel School of Business,POINT (77.5793277 12.9107627),12.9107627,77.5793277
,school,Nishara Public School,POINT (77.5829611 12.9107273),12.9107273,77.5829611
,bar,S M Bar and restaurant,POINT (77.5347785 13.0550473),13.0550473,77.5347785
,warehouse,Samrat Laxminarayan Wood Industries,POINT (77.6003537 12.9103929),12.9103929,77.6003537
,hospital,Arya Vaidya Sala Kottakkal,POINT (77.5840181 12.9414373),12.9414373,77.5840181
,commercial,Share Khan,POINT (77.5839376 12.9402034),12.9402034,77.5839376
,college,Community Institute of Business Studies,POINT (77.5841596 12.9391708),12.9391708,77.5841596
,school,Community English Higher Primary School,POINT (77.584117 12.9387218),12.9387218,77.584117
,school,Kidzee,POINT (77.5832721 12.9388406),12.9388406,77.5832721
bar,restaurant,Sri Nanjundeshwara bar and restaurant,POINT (77.6001886 12.9112404),12.9112404,77.6001886
restaurant,restaurant,Shri Lakshmi Darshini,POINT (77.6001591 12.9113058),12.9113058,77.6001591
,company,Cooling Techniq Air Conditioning and Refrigeration,POINT (77.6001672 12.9111698),12.9111698,77.6001672
restaurant,restaurant,Prasanna bar and restaurant,POINT (77.6001135 12.9113345),12.9113345,77.6001135
bank,bank,Punjab National Bank,POINT (77.5928725 12.9099986),12.9099986,77.5928725
fast_food,restaurant,Ambur Chicken Biriyani and Chinese food,POINT (77.6001273 12.9165473),12.9165473,77.6001273
,school,Himalai IAS coaching center,POINT (77.5568905 12.9902802),12.9902802,77.5568905
,publishers,Bhavesh Publications Pvt Limited,POINT (77.5569651 12.9893048),12.9893048,77.5569651
,hospital,Sukshema hospital,POINT (77.5569785 12.9903801),12.9903801,77.5569785
,church,Bethesda AG Church,POINT (77.5567369 12.9893195),12.9893195,77.5567369
,astrologer,Sri Guru Raghavendra Astrologer,POINT (77.5559959 12.989347),12.989347,77.5559959
,gymnasium,Body Flex Fitness Center and Gymnasium,POINT (77.5560235 12.989787),12.989787,77.5560235
,school,Spiders Software Testing Training Institute,POINT (77.5560235 12.9897505),12.9897505,77.5560235
,company,Ray Care,POINT (77.5547321 12.9895903),12.9895903,77.5547321
,electronics,Sumitha Electrical Service,POINT (77.5560127 12.9895361),12.9895361,77.5560127
,community_centre,Terapanth Bhavan,POINT (77.5545441 12.9895387),12.9895387,77.5545441
,residential,Gurukrupa Bhavan,POINT (77.5545323 12.9894068),12.9894068,77.5545323
,company,Stella's Beauty Salon,POINT (77.554456 12.9894313),12.9894313,77.554456
,college,Rangnekar Institute of Management Studies and Research,POINT (77.554684 12.9895933),12.9895933,77.554684
,company,Conet Technologies,POINT (77.5546759 12.9895463),12.9895463,77.5546759
,school,Veta English Language Center,POINT (77.5547376 12.9895463),12.9895463,77.5547376
,retail,Kiran Chemicals,POINT (77.5548503 12.9895332),12.9895332,77.5548503
,residential,Sri Sai Ganesh PG Accommodation for Ladies,POINT (77.5551044 12.9895692),12.9895692,77.5551044
,library,Karnataka State Library Association,POINT (77.5555157 12.9893405),12.9893405,77.5555157
dentist,dentist,Kanva Dental Super Specialty Center,POINT (77.5559849 12.9892743),12.9892743,77.5559849
bank,bank,Syndicate Bank,POINT (77.5558999 12.9890694),12.9890694,77.5558999
,architect,Nivas Architectures,POINT (77.5559902 12.9893217),12.9893217,77.5559902
,services,"Touch One Stop Repair Services - Laptop, Desktop, Tablet, Accessories",POINT (77.5559827 12.9892592),12.9892592,77.5559827
,public,BBMP Office,POINT (77.5941264 12.8897698),12.8897698,77.5941264
,apartments,May Flower Gardens,POINT (77.664105 12.9912517),12.9912517,77.664105
,school,St Anns School,POINT (77.6634074 12.9928215),12.9928215,77.6634074
,residential,313,POINT (77.6381793 12.9577287),12.9577287,77.6381793
,apartments,Landsowne,POINT (77.638123 12.9569077),12.9569077,77.638123
,residential,305,POINT (77.6383092 12.958603),12.958603,77.6383092
,residential,279,POINT (77.6212817 12.9399696),12.9399696,77.6212817
,residential,275/A,POINT (77.6212358 12.9397604),12.9397604,77.6212358
,residential,326,POINT (77.6221327 12.9408979),12.9408979,77.6221327
,residential,#314,POINT (77.6229948 12.941634),12.941634,77.6229948
,apartments,Vrushi Apartment,POINT (77.5658935 13.0425009),13.0425009,77.5658935
,office,"Mindtree Global Village, Phase 1",POINT (77.5025188 12.9188148),12.9188148,77.5025188
,office,"Mindtree Global Village, Phase 3",POINT (77.5033878 12.917916),12.917916,77.5033878
,office,"Mindtree Global Village, Phase 2",POINT (77.5025687 12.9180697),12.9180697,77.5025687
,office,"Mindtree Global Village, Phase 5",POINT (77.5005452 12.918899),12.918899,77.5005452
,house,B55 Anugrahal layout,POINT (77.721959 13.0031048),13.0031048,77.721959
restaurant,yes,Chung Wah,POINT (77.5726967 13.0279983),13.0279983,77.5726967
,residential,Amrita Boys Hostel,POINT (77.6759762 12.8962203),12.8962203,77.6759762
,apartments,"B2 Block, L&T South City",POINT (77.5886419 12.8877343),12.8877343,77.5886419
,industrial,Provimi,POINT (77.5777617 13.1068047),13.1068047,77.5777617
,industrial,Electronic Automation Private Ltd (EAPL),POINT (77.5776186 13.1050376),13.1050376,77.5776186
,college,Deeksha PU College,POINT (77.5724333 13.1062827),13.1062827,77.5724333
,college,SB Nursing College,POINT (77.5727451 13.1041303),13.1041303,77.5727451
,hospital,Krishna nursing home,POINT (77.5987523 12.9474965),12.9474965,77.5987523
,apartments,Brigade Palmsprings,POINT (77.586103 12.89488),12.89488,77.586103
,apartments,Sahithis Daisy,POINT (77.6613871 13.0144938),13.0144938,77.6613871
,apartments,Palm Groves,POINT (77.7190655 13.0190779),13.0190779,77.7190655
hospital,hospital,HCG Cancer Hospital,POINT (77.5930493 12.9603157),12.9603157,77.5930493
,school,Euro Kids,POINT (77.6594957 12.9969549),12.9969549,77.6594957
,office,Foundation for Agrarian Studies,POINT (77.6351258 12.9794216),12.9794216,77.6351258
,school,Vijaya High School,POINT (77.5816412 12.9364297),12.9364297,77.5816412
,school,Vijaya Composite Pre-university College,POINT (77.5814468 12.9364469),12.9364469,77.5814468
,apartments,Vandana Medows,POINT (77.6533035 12.887717),12.887717,77.6533035
,kindergarten,KidSpacee,POINT (77.6472098 12.9699385),12.9699385,77.6472098
,commercial,S L N Party Hall,POINT (77.5305116 12.9742399),12.9742399,77.5305116
,residential,911 E&F,POINT (77.6396204 12.9067021),12.9067021,77.6396204
,college,RR Nursing Institutions,POINT (77.5114583 13.0717843),13.0717843,77.5114583
,college,RR B. Ed college,POINT (77.5114674 13.0718641),13.0718641,77.5114674
,college,RR Institutions B.Com college,POINT (77.5115929 13.0718003),13.0718003,77.5115929
,college,RR School of Architecture,POINT (77.5111244 13.0709989),13.0709989,77.5111244
place_of_worship,mosque,Masjid e Mecca,POINT (77.5509669 12.9618838),12.9618838,77.5509669
place_of_worship,mosque,Masjid e Rahmaniya,POINT (77.5497399 12.9631344),12.9631344,77.5497399
place_of_worship,mosque,Masjid e Riyazul Jinna,POINT (77.550719 12.9628516),12.9628516,77.550719
place_of_worship,mosque,Masjid e Alquba,POINT (77.5499693 12.9609798),12.9609798,77.5499693
place_of_worship,mosque,Masjid e Amiri Kalimi,POINT (77.5455229 12.9606907),12.9606907,77.5455229
place_of_worship,mosque,Masjid e Hira,POINT (77.5418657 12.9574368),12.9574368,77.5418657
place_of_worship,mosque,Masjid e Towheed,POINT (77.5485405 12.9626268),12.9626268,77.5485405
,office,Kotak Security,POINT (77.6414547 12.9786993),12.9786993,77.6414547
,yes,Ordell Ugo,POINT (77.5362526 12.9350492),12.9350492,77.5362526
,yes,G-Block,POINT (77.5340774 12.9336297),12.9336297,77.5340774
,yes,Mechanical Lab,POINT (77.5329723 12.9342885),12.9342885,77.5329723
,yes,JC Serene,POINT (77.6543887 12.9429247),12.9429247,77.6543887
,yes,Shriram Spandhana Apartments,POINT (77.6524846 12.9440548),12.9440548,77.6524846
,yes,VBC Paradise,POINT (77.6508567 12.9452166),12.9452166,77.6508567
,yes,Rohan Jharoka II,POINT (77.6760769 12.947901),12.947901,77.6760769
,apartments,Nisar Manzil,POINT (77.6297356 12.908192),12.908192,77.6297356
,yes,Elite Batminton Arena,POINT (77.5855115 12.9027124),12.9027124,77.5855115
place_of_worship,mosque,Sabari Ayappan Bhajana Sabha,POINT (77.6123858 12.9846121),12.9846121,77.6123858
,yes,Vishal Engineering & Fabrication Works,POINT (77.6273227 13.0602779),13.0602779,77.6273227
,house,"Sridhar, Kala & Vindhya's Home",POINT (77.6738574 12.9018186),12.9018186,77.6738574
,yes,Soho,POINT (77.6095938 12.9350251),12.9350251,77.6095938
,office,gatepass,POINT (77.6311287 12.9324728),12.9324728,77.6311287
,yes,Baliga Diagnostics,POINT (77.5885957 12.921587),12.921587,77.5885957
clinic,yes,Dr. Satish skin & ENT clinic,POINT (77.589423 12.9219428),12.9219428,77.589423
,yes,School of Ecology and consrvation,POINT (77.5762417 13.0763693),13.0763693,77.5762417
,industrial,Dakshina Musical Industries,POINT (77.6461382 12.9816893),12.9816893,77.6461382
,dormitory,Adarsh Hostels,POINT (77.5491884 12.9375917),12.9375917,77.5491884
,yes,Sangeetha Mobiles,POINT (77.5758208 13.0476974),13.0476974,77.5758208
,yes,Jaya Hibiscus,POINT (77.6635139 13.0203585),13.0203585,77.6635139
,yes,AV Gopalan,POINT (77.6464118 13.0175852),13.0175852,77.6464118
,commercial,Dhananjaya Palace,POINT (77.5306341 12.9827502),12.9827502,77.5306341
,school,Dots Montessory,POINT (77.6590811 12.8921462),12.8921462,77.6590811
school,yes,Government Primary School,POINT (77.6770656 12.9825825),12.9825825,77.6770656
school,yes,Hayagriva Girls' School,POINT (77.678154 12.9733808),12.9733808,77.678154
,yes,Cult Fit,POINT (77.5142207 12.9289844),12.9289844,77.5142207
,office,Mallikarjuna Flourmills,POINT (77.5586338 13.0662737),13.0662737,77.5586338
,school,Green Dot Montessori School,POINT (77.6723052 12.9274075),12.9274075,77.6723052
,apartments,Keerthi Harmony,POINT (77.673663 13.0222212),13.0222212,77.673663
,residential,Arya Hamsa,POINT (77.5748786 12.8599442),12.8599442,77.5748786
,apartments,South Park,POINT (77.5990655 12.8542096),12.8542096,77.5990655
,apartments,Sri Sai,POINT (77.6684797 12.8738173),12.8738173,77.6684797
,apartments,Samhita,POINT (77.6736188 12.9859966),12.9859966,77.6736188
,office,Donatebooks.org,POINT (77.6192115 13.0829922),13.0829922,77.6192115
,commercial,I-BLITZ,POINT (77.6990705 12.9378098),12.9378098,77.6990705
cafe,yes,Starbucks,POINT (77.5982058 12.97119),12.97119,77.5982058
,yes,Chowdeshwari Kripa,POINT (77.5526128 13.0306853),13.0306853,77.5526128
place_of_worship,mosque,Masjid Sir Khazi Saheb,POINT (77.5748705 12.9685944),12.9685944,77.5748705
place_of_worship,church,Shrine of St. Jude Thaddeaus,POINT (77.5915888 13.0264454),13.0264454,77.5915888
fast_food,yes,Gopizza,POINT (77.6439562 13.084032),13.084032,77.6439562
fast_food,yes,Gopizza,POINT (77.6100129 12.9702072),12.9702072,77.6100129
,yes,Castle Dollar,POINT (77.5971152 12.90482),12.90482,77.5971152
,yes,Third Wave Coffee,POINT (77.7454283 12.9584853),12.9584853,77.7454283
,yes,BBlunt,POINT (77.6080007 12.9713322),12.9713322,77.6080007
place_of_worship,chapel,St Anne's Generalate,POINT (77.590296 12.988588),12.988588,77.590296
bank,yes,Canara Bank,POINT (77.54079 12.9987935),12.9987935,77.54079
,yes,Consulate General of Switzerland,POINT (77.6055206 12.9732593),12.9732593,77.6055206
marketplace,retail,City Market,"MULTIPOLYGON (((77.5760744 12.9663092, 77.5756681 12.9655147, 77.5764666 12.9651268, 77.576873 12.9659213, 77.5760744 12.9663092)))",12.965718005058086,77.57627053165558
,apartments,Gold Strike,"MULTIPOLYGON (((77.6652049 12.9239371, 77.6648913 12.9239448, 77.6648975 12.9241841, 77.6652111 12.9241765, 77.6652078 12.9240481, 77.6652049 12.9239371)))",12.9240606242979,77.66505121722957
,apartments,Radiance,"MULTIPOLYGON (((77.6655337 12.9240172, 77.6655388 12.9242415, 77.6655591 12.9242411, 77.6655592 12.9242477, 77.6655715 12.9242474, 77.6655719 12.9242624, 77.6656479 12.9242608, 77.6656475 12.9242458, 77.6656948 12.9242448, 77.6656952 12.92426, 77.6658279 12.9242572, 77.6658275 12.9242392, 77.6658792 12.924238, 77.6658795 12.924253, 77.6659522 12.9242514, 77.6659518 12.924236, 77.6659671 12.9242357, 77.6659668 12.9242196, 77.6659788 12.9242193, 77.6659779 12.9241785, 77.6659624 12.9241788, 77.6659619 12.9241562, 77.6659785 12.9241559, 77.6659768 12.9240811, 77.6659632 12.9240814, 77.6659628 12.9240644, 77.6659765 12.9240641, 77.6659754 12.924016, 77.6659602 12.9240164, 77.6659599 12.9240007, 77.6659328 12.9240012, 77.6659325 12.9239886, 77.6655806 12.9239962, 77.665581 12.9240162, 77.6655337 12.9240172)))",12.924123765841497,77.66575526506281
,apartments,Magic Ray,"MULTIPOLYGON (((77.6650103 12.9246121, 77.6652184 12.9246063, 77.6652144 12.9244696, 77.6652104 12.9243315, 77.6650023 12.9243373, 77.6650103 12.9246121)))",12.924471800130467,77.66511034490927
,apartments,Zeal,"MULTIPOLYGON (((77.6652517 12.9255004, 77.6650309 12.9255064, 77.6650227 12.92522, 77.6652434 12.9252139, 77.6652475 12.9253543, 77.6652517 12.9255004)))",12.925360185019347,77.66513719002906
